Date,Temperature,Fan,Fan(Units),Refrigerator,Fridge(Units),AirConditioner,AC(Units),Bulb,Bulb(Units),Television,TV(Units),Monitor,Monitor(Units),MotorPump,Motor(Units),Month,Units,Extra,TariffRate,ElectricityBill
2018-03-17,31.8,6.81,0.511,9.66,1.449,1.64,1.964,2.23,0.033,4.59,0.459,1.81,0.145,0.5,0.375,3,4.937,0.0,7.45,36.78
2018-03-18,29.7,9.98,0.748,10.22,1.533,1.27,1.523,5.78,0.087,4.55,0.455,1.25,0.1,0.34,0.251,3,4.697,0.0,7.45,34.99
2018-03-19,31.3,4.77,0.358,11.82,1.772,1.8,2.164,2.91,0.044,2.34,0.234,4.85,0.388,0.31,0.231,3,5.191,0.0,7.45,38.67
2018-03-20,32.2,4.68,0.351,10.69,1.603,1.76,2.112,5.09,0.076,2.04,0.204,5.56,0.445,0.37,0.274,3,5.065,0.0,7.45,37.73
2018-03-21,31.9,7.37,0.552,11.51,1.726,1.7,2.042,2.54,0.038,1.06,0.106,5.27,0.421,0.39,0.29,3,5.175,0.0,7.45,38.55
2018-03-22,32.1,8.22,0.617,8.85,1.328,1.57,1.882,2.06,0.031,1.7,0.17,4.77,0.382,0.32,0.238,3,4.647,0.0,7.45,34.62
2018-03-23,26.8,3.75,0.281,11.62,1.742,0.85,1.018,4.06,0.061,2.57,0.257,4.19,0.335,0.31,0.235,3,3.929,0.0,7.45,29.27
2018-03-24,30.4,9.17,0.688,11.8,1.77,1.57,1.888,5.71,0.086,3.48,0.348,1.26,0.101,0.34,0.253,3,5.133,0.0,7.45,38.24
2018-03-25,30.0,9.88,0.741,9.97,1.496,0.83,0.995,4.53,0.068,2.72,0.272,1.08,0.086,0.24,0.179,3,3.836,0.0,7.45,28.58
2018-03-26,31.9,4.77,0.358,8.61,1.291,1.57,1.883,4.56,0.068,1.36,0.136,4.04,0.323,0.47,0.352,3,4.412,0.0,7.45,32.87
2018-03-27,30.3,6.84,0.513,10.67,1.601,1.59,1.903,2.77,0.042,1.08,0.108,3.51,0.281,0.28,0.213,3,4.66,0.0,7.45,34.72
2018-03-28,33.8,5.06,0.38,8.35,1.253,1.56,1.872,3.84,0.058,1.41,0.141,4.09,0.327,0.35,0.263,3,4.295,0.0,7.45,32.0
2018-03-29,32.3,8.14,0.611,8.16,1.224,1.9,2.28,4.51,0.068,1.16,0.116,5.62,0.45,0.48,0.357,3,5.105,0.0,7.45,38.03
2018-03-30,31.5,4.37,0.327,9.11,1.366,1.9,2.284,4.99,0.075,1.37,0.137,3.63,0.29,0.31,0.233,3,4.713,0.0,7.45,35.11
2018-03-31,31.8,6.91,0.518,10.47,1.571,1.68,2.021,3.85,0.058,4.24,0.424,1.04,0.083,0.28,0.207,3,4.882,0.0,7.45,36.37
2018-04-01,31.6,8.28,0.621,11.58,1.737,1.76,2.107,4.13,0.062,2.32,0.232,1.45,0.116,0.36,0.27,4,5.145,0.0,7.21,37.1
2018-04-02,34.0,5.45,0.409,9.08,1.362,1.69,2.026,2.08,0.031,1.64,0.164,3.63,0.291,0.3,0.224,4,4.507,0.0,7.21,32.5
2018-04-03,34.5,4.72,0.354,11.56,1.734,1.8,2.156,4.72,0.071,2.58,0.258,4.5,0.36,0.23,0.17,4,5.102,0.0,7.21,36.79
2018-04-04,34.5,7.22,0.542,10.35,1.552,1.87,2.247,3.73,0.056,1.26,0.126,3.85,0.308,0.31,0.232,4,5.062,0.0,7.21,36.5
2018-04-05,30.8,7.88,0.591,10.28,1.542,1.68,2.014,5.95,0.089,2.21,0.221,3.71,0.297,0.23,0.173,4,4.927,0.0,7.21,35.52
2018-04-06,32.6,4.92,0.369,8.98,1.348,1.58,1.896,2.75,0.041,1.57,0.157,3.52,0.282,0.47,0.352,4,4.444,0.0,7.21,32.04
2018-04-07,32.7,4.48,0.336,10.1,1.515,1.71,2.046,5.93,0.089,2.34,0.234,1.4,0.112,0.49,0.368,4,4.7,0.0,7.21,33.89
2018-04-08,28.2,9.19,0.689,11.27,1.69,0.76,0.909,2.68,0.04,4.01,0.401,1.93,0.154,0.37,0.275,4,4.16,0.0,7.21,29.99
2018-04-09,31.6,7.43,0.557,9.12,1.368,1.88,2.262,2.75,0.041,1.65,0.165,4.28,0.342,0.35,0.264,4,4.999,0.0,7.21,36.04
2018-04-10,36.5,5.45,0.409,8.46,1.269,1.81,2.166,3.15,0.047,2.16,0.216,3.46,0.277,0.34,0.258,4,4.643,0.0,7.21,33.48
2018-04-11,28.7,7.2,0.54,8.21,1.231,0.84,1.004,2.54,0.038,1.13,0.113,5.97,0.478,0.3,0.223,4,3.626,0.0,7.21,26.14
2018-04-12,33.7,8.86,0.664,9.02,1.353,1.84,2.209,5.04,0.076,2.19,0.219,4.41,0.353,0.32,0.243,4,5.117,0.0,7.21,36.89
2018-04-13,28.9,6.09,0.457,11.72,1.758,1.33,1.597,5.86,0.088,1.25,0.125,5.19,0.415,0.48,0.361,4,4.801,0.0,7.21,34.62
2018-04-14,28.9,5.09,0.382,8.27,1.24,1.24,1.489,4.3,0.064,4.53,0.453,1.14,0.091,0.44,0.329,4,4.048,0.0,7.21,29.19
2018-04-15,29.7,5.21,0.391,8.65,1.298,0.66,0.797,5.26,0.079,4.0,0.4,1.52,0.122,0.31,0.231,4,3.317,0.0,7.21,23.92
2018-04-16,32.7,9.26,0.695,9.57,1.435,1.91,2.29,3.76,0.056,1.75,0.175,4.39,0.351,0.29,0.218,4,5.221,0.0,7.21,37.64
2018-04-17,30.3,8.49,0.636,10.01,1.502,1.62,1.939,5.6,0.084,1.77,0.177,4.63,0.37,0.47,0.354,4,5.063,0.0,7.21,36.5
2018-04-18,32.6,7.75,0.581,8.47,1.27,1.97,2.364,4.51,0.068,1.67,0.167,3.42,0.273,0.44,0.329,4,5.052,0.0,7.21,36.42
2018-04-19,34.2,7.72,0.579,10.13,1.52,1.95,2.336,5.15,0.077,1.3,0.13,3.94,0.315,0.27,0.206,4,5.164,0.0,7.21,37.23
2018-04-20,31.1,8.46,0.635,8.13,1.22,1.78,2.142,5.05,0.076,2.75,0.275,4.03,0.322,0.45,0.335,4,5.005,0.0,7.21,36.09
2018-04-21,30.5,4.66,0.35,11.39,1.708,1.56,1.876,3.59,0.054,4.39,0.439,1.15,0.092,0.27,0.202,4,4.721,0.0,7.21,34.04
2018-04-22,32.8,8.33,0.625,10.88,1.632,1.82,2.185,4.78,0.072,3.63,0.363,1.25,0.1,0.3,0.228,4,5.204,0.0,7.21,37.52
2018-04-23,28.1,5.09,0.382,11.63,1.745,1.08,1.3,3.6,0.054,1.92,0.192,5.84,0.467,0.25,0.185,4,4.325,0.0,7.21,31.18
2018-04-24,33.7,7.52,0.564,10.02,1.504,1.81,2.167,2.07,0.031,2.74,0.274,5.8,0.464,0.37,0.277,4,5.281,0.0,7.21,38.08
2018-04-25,30.1,8.18,0.613,11.69,1.753,1.85,2.224,2.61,0.039,2.15,0.215,4.82,0.386,0.33,0.245,4,5.477,0.0,7.21,39.49
2018-04-26,31.7,8.42,0.631,11.74,1.761,1.96,2.355,3.8,0.057,1.23,0.123,5.95,0.476,0.45,0.339,4,5.742,0.0,7.21,41.4
2018-04-27,33.5,4.75,0.356,11.68,1.753,1.93,2.322,4.08,0.061,2.18,0.218,4.2,0.336,0.22,0.162,4,5.208,0.0,7.21,37.55
2018-04-28,32.9,6.01,0.451,11.21,1.682,1.5,1.803,3.33,0.05,3.19,0.319,1.54,0.123,0.48,0.357,4,4.785,0.0,7.21,34.5
2018-04-29,33.1,6.08,0.456,9.39,1.408,1.87,2.243,3.81,0.057,2.67,0.267,1.45,0.116,0.24,0.182,4,4.729,0.0,7.21,34.1
2018-04-30,31.9,5.06,0.379,9.99,1.499,1.71,2.051,5.66,0.085,1.72,0.172,4.74,0.379,0.39,0.292,4,4.859,0.0,7.21,35.03
2018-05-01,33.0,4.08,0.306,10.65,1.598,1.59,1.907,5.84,0.088,1.3,0.13,4.24,0.34,0.23,0.169,5,4.537,0.0,7.13,32.35
2018-05-02,30.7,9.98,0.749,10.01,1.501,1.8,2.157,2.27,0.034,2.5,0.25,3.63,0.29,0.47,0.352,5,5.334,0.0,7.13,38.03
2018-05-03,31.3,5.23,0.392,8.76,1.314,1.52,1.822,3.89,0.058,2.13,0.213,3.2,0.256,0.43,0.324,5,4.38,0.0,7.13,31.23
2018-05-04,35.7,6.72,0.504,10.1,1.515,1.72,2.064,3.6,0.054,2.12,0.212,3.47,0.277,0.25,0.191,5,4.817,0.0,7.13,34.35
2018-05-05,33.0,9.17,0.688,11.78,1.768,1.69,2.024,3.08,0.046,3.93,0.393,1.41,0.113,0.21,0.156,5,5.187,0.0,7.13,36.98
2018-05-06,29.1,4.94,0.37,10.86,1.63,1.16,1.391,2.11,0.032,2.67,0.267,1.23,0.098,0.4,0.301,5,4.088,0.0,7.13,29.15
2018-05-07,35.1,4.12,0.309,8.42,1.262,1.9,2.28,2.71,0.041,2.31,0.231,3.71,0.297,0.23,0.172,5,4.592,0.0,7.13,32.74
2018-05-08,32.5,5.46,0.409,10.89,1.633,1.93,2.313,5.32,0.08,1.79,0.179,5.0,0.4,0.26,0.196,5,5.212,0.0,7.13,37.16
2018-05-09,30.3,5.76,0.432,11.59,1.738,1.51,1.808,2.34,0.035,1.42,0.142,3.08,0.246,0.25,0.191,5,4.591,0.0,7.13,32.73
2018-05-10,29.4,7.5,0.562,9.69,1.453,1.39,1.671,5.27,0.079,1.68,0.168,3.78,0.302,0.31,0.235,5,4.472,0.0,7.13,31.89
2018-05-11,34.5,7.54,0.566,9.07,1.361,1.81,2.174,3.64,0.055,2.1,0.21,4.31,0.345,0.29,0.216,5,4.927,0.0,7.13,35.13
2018-05-12,28.8,9.69,0.727,11.05,1.658,0.64,0.768,5.47,0.082,3.46,0.346,1.89,0.152,0.44,0.33,5,4.063,0.0,7.13,28.97
2018-05-13,31.1,6.55,0.491,8.09,1.213,1.63,1.961,4.17,0.062,3.9,0.39,1.26,0.101,0.24,0.181,5,4.401,0.0,7.13,31.38
2018-05-14,30.3,9.01,0.676,11.94,1.791,1.76,2.115,2.69,0.04,1.54,0.154,3.06,0.244,0.47,0.356,5,5.377,0.0,7.13,38.34
2018-05-15,29.2,4.71,0.353,10.31,1.546,0.77,0.929,4.22,0.063,2.3,0.23,5.49,0.439,0.26,0.196,5,3.757,0.0,7.13,26.79
2018-05-16,32.6,4.07,0.305,8.55,1.282,1.95,2.34,5.5,0.082,2.19,0.219,4.8,0.384,0.4,0.3,5,4.913,0.0,7.13,35.03
2018-05-17,32.7,5.05,0.379,11.66,1.749,1.71,2.051,3.53,0.053,2.04,0.204,3.14,0.251,0.25,0.187,5,4.874,0.0,7.13,34.75
2018-05-18,28.4,8.43,0.632,8.33,1.25,1.1,1.324,2.98,0.045,1.78,0.178,3.87,0.309,0.31,0.23,5,3.967,0.0,7.13,28.28
2018-05-19,31.1,8.31,0.624,9.19,1.378,1.78,2.14,3.9,0.059,3.99,0.399,1.94,0.155,0.42,0.315,5,5.069,0.0,7.13,36.14
2018-05-20,30.6,5.29,0.397,8.12,1.219,1.63,1.957,4.38,0.066,2.15,0.215,1.5,0.12,0.38,0.284,5,4.258,0.0,7.13,30.36
2018-05-21,32.2,6.01,0.45,11.08,1.663,1.55,1.864,2.3,0.035,2.46,0.246,4.49,0.359,0.41,0.305,5,4.921,0.0,7.13,35.09
2018-05-22,31.2,6.61,0.496,8.99,1.348,1.91,2.291,5.2,0.078,2.39,0.239,3.82,0.305,0.38,0.283,5,5.04,0.0,7.13,35.94
2018-05-23,32.8,6.17,0.462,8.37,1.255,1.96,2.35,2.55,0.038,2.9,0.29,4.34,0.347,0.26,0.192,5,4.935,0.0,7.13,35.19
2018-05-24,35.5,7.25,0.544,11.49,1.724,1.87,2.239,5.23,0.078,2.32,0.232,5.08,0.406,0.45,0.341,5,5.564,0.0,7.13,39.67
2018-05-25,32.1,5.5,0.412,9.96,1.494,1.61,1.933,5.95,0.089,2.89,0.289,3.12,0.249,0.41,0.309,5,4.775,0.0,7.13,34.05
2018-05-26,33.8,9.55,0.716,8.72,1.308,1.78,2.141,5.66,0.085,2.1,0.21,1.7,0.136,0.29,0.217,5,4.813,0.0,7.13,34.32
2018-05-27,28.8,9.55,0.716,11.88,1.783,1.44,1.733,3.9,0.058,4.59,0.459,1.84,0.148,0.3,0.222,5,5.118,0.0,7.13,36.49
2018-05-28,32.2,8.97,0.673,8.15,1.222,1.8,2.158,2.92,0.044,1.24,0.124,3.23,0.258,0.41,0.307,5,4.786,0.0,7.13,34.12
2018-05-29,26.4,3.36,0.252,10.9,1.635,0.57,0.678,3.26,0.049,2.08,0.208,5.37,0.43,0.24,0.182,5,3.434,0.0,7.13,24.48
2018-05-30,32.9,7.76,0.582,11.54,1.732,1.81,2.17,2.93,0.044,1.05,0.105,5.61,0.449,0.21,0.155,5,5.235,0.0,7.13,37.33
2018-05-31,30.7,9.25,0.694,10.12,1.517,1.97,2.363,5.2,0.078,3.0,0.3,4.05,0.324,0.43,0.323,5,5.599,0.0,7.13,39.92
2018-06-01,27.4,3.61,0.271,9.92,1.488,1.13,1.353,5.49,0.082,2.97,0.297,5.3,0.424,0.27,0.2,6,4.115,0.0,7.14,29.38
2018-06-02,26.5,3.69,0.276,10.95,1.643,0.74,0.887,2.44,0.037,3.06,0.306,1.29,0.103,0.24,0.179,6,3.43,0.0,7.14,24.49
2018-06-03,26.9,2.93,0.22,8.17,1.225,0.52,0.621,5.95,0.089,3.28,0.328,1.38,0.111,0.33,0.245,6,2.84,0.0,7.14,20.28
2018-06-04,23.5,2.87,0.215,11.8,1.77,1.29,1.544,4.36,0.065,1.84,0.184,5.64,0.451,0.39,0.29,6,4.519,0.0,7.14,32.27
2018-06-05,23.4,3.87,0.29,10.45,1.568,0.67,0.8,7.96,0.119,1.46,0.146,5.83,0.466,0.32,0.24,6,3.63,0.0,7.14,25.92
2018-06-06,28.9,7.65,0.573,10.05,1.508,0.73,0.877,2.71,0.041,1.44,0.144,3.56,0.285,0.43,0.325,6,3.753,0.0,7.14,26.8
2018-06-07,29.6,6.1,0.458,8.23,1.235,1.47,1.763,5.54,0.083,2.86,0.286,5.98,0.479,0.25,0.189,6,4.492,0.0,7.14,32.07
2018-06-08,24.8,3.58,0.269,11.03,1.655,1.2,1.435,2.62,0.039,2.63,0.263,3.67,0.294,0.22,0.166,6,4.121,0.0,7.14,29.42
2018-06-09,26.6,4.15,0.311,10.37,1.556,1.08,1.296,2.37,0.035,4.63,0.463,1.27,0.101,0.2,0.15,6,3.913,0.0,7.14,27.94
2018-06-10,28.3,9.33,0.7,11.82,1.773,1.36,1.635,5.24,0.079,3.97,0.397,1.55,0.124,0.23,0.17,6,4.877,0.0,7.14,34.82
