Fan,Fan(Units),Refrigerator,Fridge(Units),AirConditioner,AC(Units),Bulb,Blub(Units),Television,TV(Units),Monitor,Monitor(Units),MotorPump,Motor(Units),Month,Units,Extra,TariffRate,ElectricityBill
17,1.275,22,2.2,1,1.5,6,0.06,6,0.6,1,0.05,0.12,0.09,6,5.925,5.85,8.8,57.99
20,1.5,23,2.3,1,1.5,8,0.08,18,1.8,1,0.05,0.23,0.1725,6,7.8025,9.605,8.8,78.267
15,1.125,22,2.2,2,3,6,0.06,16,1.6,1,0.05,0.24,0.18,6,8.565,11.13,8.8,86.502
12,0.9,22,2.2,2,3,10,0.1,6,0.6,1,0.05,0.2,0.15,6,7.17,8.34,8.8,71.436
23,1.725,22,2.2,0,0,9,0.09,12,1.2,1,0.05,0.02,0.015,6,5.565,5.13,8.8,54.102
13,0.975,22,2.2,0,0,6,0.06,12,1.2,1,0.05,0.14,0.105,6,4.86,3.72,8.8,46.488
17,1.275,23,2.3,3,4.5,7,0.07,21,2.1,1,0.05,0.04,0.03,6,10.78,15.56,8.8,110.424
5,0.375,18,1.8,0,0,7,0.07,14,1.4,1,0.05,0.25,0.1875,6,4.1975,2.395,8.8,39.333
16,1.2,23,2.3,1,1.5,6,0.06,21,2.1,1,0.05,0.2,0.15,6,7.81,9.62,8.8,78.348
15,1.125,22,2.2,2,3,9,0.09,14,1.4,1,0.05,0.16,0.12,6,8.31,10.62,8.8,83.748
18,1.35,23,2.3,1,1.5,6,0.06,11,1.1,1,0.05,0.01,0.0075,6,6.6175,7.235,8.8,65.469
23,1.725,22,2.2,2,3,7,0.07,4,0.4,1,0.05,0.22,0.165,6,7.725,9.45,8.8,77.43
23,1.725,23,2.3,1,1.5,8,0.08,13,1.3,1,0.05,0.24,0.18,6,7.435,8.87,8.8,74.298
17,1.275,22,2.2,0,0,8,0.08,16,1.6,12,0.6,0.16,0.12,6,6.235,6.47,8.8,61.338
5,0.375,20,2,0,0,8,0.08,8,0.8,1,0.05,0.25,0.1875,6,3.6925,1.385,8.8,33.879
21,1.575,22,2.2,2,3,8,0.08,15,1.5,1,0.05,0.19,0.1425,6,8.8875,11.775,8.8,89.985
23,1.725,23,2.3,3,4.5,6,0.06,8,0.8,1,0.05,0.04,0.03,6,9.655,13.31,8.8,98.274
11,0.825,23,2.3,1,1.5,9,0.09,21,2.1,1,0.05,0.2,0.15,6,7.48,8.96,8.8,74.784
7,0.525,20,2,2,3,10,0.1,6,0.6,7,0.35,0.16,0.12,7,6.865,7.73,8.8,68.142
18,1.35,22,2.2,1,1.5,10,0.1,3,0.3,12,0.6,0.24,0.18,7,6.34,6.68,8.8,62.472
23,1.725,22,2.2,2,3,9,0.09,14,1.4,1,0.05,0,0,7,8.79,11.58,8.8,88.932
21,1.575,22,2.2,0,0,10,0.1,19,1.9,1,0.05,0.25,0.1875,7,6.4425,6.885,8.8,63.579
8,0.6,17,1.7,3,4.5,10,0.1,5,0.5,1,0.05,0.08,0.06,7,7.66,9.32,8.8,76.728
8,0.6,22,2.2,2,3,7,0.07,8,0.8,1,0.05,0.13,0.0975,7,7.0125,8.025,8.8,69.735
14,1.05,22,2.2,2,3,9,0.09,6,0.6,12,0.6,0.19,0.1425,7,7.8475,9.695,8.8,78.753
10,0.75,18,1.8,2,3,8,0.08,9,0.9,1,0.05,0.03,0.0225,7,6.8225,7.645,8.8,67.683
16,1.2,23,2.3,1,1.5,10,0.1,16,1.6,1,0.05,0.05,0.0375,7,7.1575,8.315,8.8,71.301
14,1.05,23,2.3,2,3,10,0.1,4,0.4,1,0.05,0.02,0.015,7,7.045,8.09,8.8,70.086
20,1.5,23,2.3,3,4.5,8,0.08,11,1.1,1,0.05,0.06,0.045,7,9.835,13.67,8.8,100.218
8,0.6,23,2.3,2,3,9,0.09,17,1.7,1,0.05,0.04,0.03,7,8.155,10.31,8.8,82.074
23,1.725,22,2.2,2,3,6,0.06,18,1.8,1,0.05,0.12,0.09,7,9.315,12.63,8.8,94.602
6,0.45,22,2.2,1,1.5,6,0.06,11,1.1,1,0.05,0.09,0.0675,7,5.6775,5.355,8.8,55.317
17,1.275,23,2.3,3,4.5,6,0.06,19,1.9,1,0.05,0.06,0.045,7,10.54,15.08,8.8,107.832
5,0.375,23,2.3,0,0,8,0.08,4,0.4,1,0.05,0.01,0.0075,7,3.3325,0.665,8.8,29.991
12,0.9,23,2.3,3,4.5,8,0.08,16,1.6,1,0.05,0.1,0.075,7,9.865,13.73,8.8,100.542
17,1.275,22,2.2,3,4.5,9,0.09,18,1.8,1,0.05,0.01,0.0075,7,10.3275,14.655,8.8,105.537
14,1.05,22,2.2,1,1.5,8,0.08,10,1,12,0.6,0.01,0.0075,7,6.6775,7.355,8.8,66.117
6,0.45,23,2.3,2,3,10,0.1,19,1.9,7,0.35,0.01,0.0075,7,8.5375,11.075,8.8,86.205
11,0.825,22,2.2,2,3,8,0.08,12,1.2,12,0.6,0.15,0.1125,7,8.2975,10.595,8.8,83.613
8,0.6,17,1.7,1,1.5,7,0.07,8,0.8,1,0.05,0.14,0.105,7,5.02,4.04,8.8,48.216
7,0.525,17,1.7,2,3,10,0.1,10,1,1,0.05,0.09,0.0675,7,6.6925,7.385,8.8,66.279
21,1.575,22,2.2,2,3,7,0.07,15,1.5,1,0.05,0.16,0.12,7,8.85,11.7,8.8,89.58
21,1.575,23,2.3,3,4.5,9,0.09,12,1.2,1,0.05,0.25,0.1875,7,10.1875,14.375,8.8,104.025
14,1.05,23,2.3,1,1.5,8,0.08,13,1.3,12,0.6,0.21,0.1575,7,7.2875,8.575,8.8,72.705
17,1.275,23,2.3,1,1.5,8,0.08,9,0.9,1,0.05,0.23,0.1725,7,6.4975,6.995,8.8,64.173
14,1.05,23,2.3,0,0,9,0.09,19,1.9,1,0.05,0.11,0.0825,7,5.8975,5.795,8.8,57.693
16,1.2,23,2.3,2,3,8,0.08,5,0.5,1,0.05,0.24,0.18,7,7.45,8.9,8.8,74.46
21,1.575,23,2.3,2,3,7,0.07,11,1.1,1,0.05,0.04,0.03,7,8.38,10.76,8.8,84.504
21,1.575,23,2.3,1,1.5,10,0.1,4,0.4,1,0.05,0.16,0.12,7,6.175,6.35,8.8,60.69
8,0.6,20,2,2,3,7,0.07,8,0.8,1,0.05,0.02,0.015,8,6.73,7.46,8.8,66.684
23,1.725,23,2.3,0,0,9,0.09,15,1.5,1,0.05,0.01,0.0075,8,6.0175,6.035,8.8,58.989
22,1.65,23,2.3,2,3,6,0.06,11,1.1,1,0.05,0.12,0.09,8,8.5,11,8.8,85.8
7,0.525,22,2.2,2,3,8,0.08,16,1.6,1,0.05,0.25,0.1875,8,8.0025,10.005,8.8,80.427
11,0.825,23,2.3,0,0,7,0.07,20,2,1,0.05,0.2,0.15,8,5.83,5.66,8.8,56.964
16,1.2,22,2.2,1,1.5,9,0.09,11,1.1,1,0.05,0.03,0.0225,8,6.4275,6.855,8.8,63.417
14,1.05,23,2.3,1,1.5,10,0.1,13,1.3,1,0.05,0.16,0.12,8,6.73,7.46,8.8,66.684
8,0.6,23,2.3,0,0,9,0.09,4,0.4,1,0.05,0.14,0.105,8,3.67,1.34,8.8,33.636
7,0.525,22,2.2,2,3,9,0.09,11,1.1,7,0.35,0.24,0.18,8,7.71,9.42,8.8,77.268
13,0.975,23,2.3,3,4.5,7,0.07,8,0.8,12,0.6,0.02,0.015,8,9.455,12.91,8.8,96.114
13,0.975,22,2.2,0,0,9,0.09,7,0.7,1,0.05,0.01,0.0075,8,4.2075,2.415,8.8,39.441
6,0.45,19,1.9,1,1.5,9,0.09,4,0.4,1,0.05,0.06,0.045,8,4.56,3.12,8.8,43.248
7,0.525,18,1.8,3,4.5,7,0.07,4,0.4,1,0.05,0.2,0.15,8,7.61,9.22,8.8,76.188
18,1.35,23,2.3,2,3,10,0.1,13,1.3,1,0.05,0.12,0.09,8,8.5,11,8.8,85.8
12,0.9,23,2.3,0,0,8,0.08,14,1.4,1,0.05,0.05,0.0375,8,5.0875,4.175,8.8,48.945
17,1.275,22,2.2,3,4.5,10,0.1,7,0.7,1,0.05,0.16,0.12,8,9.135,12.27,8.8,92.658
7,0.525,17,1.7,3,4.5,6,0.06,14,1.4,1,0.05,0.09,0.0675,8,8.6125,11.225,8.8,87.015
23,1.725,23,2.3,0,0,6,0.06,22,2.2,1,0.05,0.23,0.1725,8,6.9775,7.955,8.8,69.357
18,1.35,23,2.3,3,4.5,8,0.08,12,1.2,1,0.05,0.09,0.0675,8,9.8275,13.655,8.8,100.137
16,1.2,23,2.3,3,4.5,7,0.07,5,0.5,1,0.05,0.17,0.1275,8,8.8825,11.765,8.8,89.931
5,0.375,19,1.9,2,3,8,0.08,16,1.6,1,0.05,0.17,0.1275,8,7.4925,8.985,8.8,74.919
20,1.5,22,2.2,2,3,8,0.08,9,0.9,1,0.05,0.09,0.0675,8,8.0175,10.035,8.8,80.589
7,0.525,18,1.8,1,1.5,6,0.06,15,1.5,1,0.05,0.18,0.135,8,5.9,5.8,8.8,57.72
20,1.5,23,2.3,2,3,7,0.07,12,1.2,1,0.05,0,0,8,8.395,10.79,8.8,84.666
7,0.525,23,2.3,0,0,8,0.08,19,1.9,1,0.05,0.21,0.1575,8,5.4325,4.865,8.8,52.671
6,0.45,18,1.8,0,0,8,0.08,9,0.9,1,0.05,0.19,0.1425,8,3.6425,1.285,8.8,33.339
9,0.675,21,2.1,3,4.5,8,0.08,22,2.2,1,0.05,0.08,0.06,8,10.145,14.29,8.8,103.566
13,0.975,22,2.2,1,1.5,8,0.08,3,0.3,1,0.05,0.11,0.0825,8,5.2875,4.575,8.8,51.105
8,0.6,20,2,3,4.5,8,0.08,13,1.3,7,0.35,0.17,0.1275,8,9.2575,12.515,8.8,93.981
7,0.525,17,1.7,2,3,8,0.08,16,1.6,7,0.35,0.02,0.015,8,7.63,9.26,8.8,76.404
22,1.65,22,2.2,1,1.5,9,0.09,11,1.1,1,0.05,0.1,0.075,8,6.93,7.86,8.8,68.844
